Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,91158290,44900499,46257791
Estados Unidos Mexicanos,0 a 4 años,10724100,5449356,5274744
Estados Unidos Mexicanos,5 a 9 años,10867563,5515644,5351919
Estados Unidos Mexicanos,10 a 14 años,10670048,5404261,5265787
Estados Unidos Mexicanos,15 a 19 años,10142071,5022243,5119828
Estados Unidos Mexicanos,20 a 24 años,9397424,4538686,4858738
Estados Unidos Mexicanos,25 a 29 años,7613090,3652995,3960095
Estados Unidos Mexicanos,30 a 34 años,6564605,3152462,3412143
Estados Unidos Mexicanos,35 a 39 años,5820178,2804296,3015882
Estados Unidos Mexicanos,40 a 44 años,4434317,2173041,2261276
Estados Unidos Mexicanos,45 a 49 años,3612452,1763505,1848947
Estados Unidos Mexicanos,50 a 54 años,2896049,1418508,1477541
Estados Unidos Mexicanos,55 a 59 años,2231897,1083293,1148604
Estados Unidos Mexicanos,60 a 64 años,1941953,929650,1012303
Estados Unidos Mexicanos,65 a 69 años,1425809,674004,751805
Estados Unidos Mexicanos,70 a 74 años,1079803,521069,558734
Estados Unidos Mexicanos,75 a 79 años,666196,317553,348643
Estados Unidos Mexicanos,80 a 84 años,434120,193923,240197
Estados Unidos Mexicanos,85 a 89 años,252802,112158,140644
Estados Unidos Mexicanos,90 a 94 años,105150,44789,60361
Estados Unidos Mexicanos,95 a 99 años,49764,20716,29048
Estados Unidos Mexicanos,100 años y más,14046,5137,8909
Estados Unidos Mexicanos,No especificado,214853,103210,111643
Aguascalientes,Total,862720,422324,440396
Aguascalientes,0 a 4 años,112429,56920,55509
Aguascalientes,5 a 9 años,107680,54663,53017
Aguascalientes,10 a 14 años,104083,52977,51106
Aguascalientes,15 a 19 años,97061,48025,49036
Aguascalientes,20 a 24 años,88901,42402,46499
Aguascalientes,25 a 29 años,71839,33658,38181
Aguascalientes,30 a 34 años,62217,29478,32739
Aguascalientes,35 a 39 años,52549,25116,27433
Aguascalientes,40 a 44 años,40131,19467,20664
Aguascalientes,45 a 49 años,31678,15260,16418
Aguascalientes,50 a 54 años,24525,11930,12595
Aguascalientes,55 a 59 años,17646,8436,9210
Aguascalientes,60 a 64 años,15900,7378,8522
Aguascalientes,65 a 69 años,11870,5412,6458
Aguascalientes,70 a 74 años,9452,4438,5014
Aguascalientes,75 a 79 años,5771,2738,3033
Aguascalientes,80 a 84 años,3892,1776,2116
Aguascalientes,85 a 89 años,2428,1063,1365
Aguascalientes,90 a 94 años,975,409,566
Aguascalientes,95 a 99 años,380,154,226
Aguascalientes,100 años y más,59,17,42
Aguascalientes,No especificado,1254,607,647
Baja California,Total,2112140,1064591,1047549
Baja California,0 a 4 años,257856,131186,126670
Baja California,5 a 9 años,238928,121542,117386
Baja California,10 a 14 años,208902,106410,102492
Baja California,15 a 19 años,215142,108162,106980
Baja California,20 a 24 años,240052,121008,119044
Baja California,25 a 29 años,208348,105757,102591
Baja California,30 a 34 años,175151,88797,86354
Baja California,35 a 39 años,143144,71708,71436
Baja California,40 a 44 años,105499,52968,52531
Baja California,45 a 49 años,80606,39883,40723
Baja California,50 a 54 años,64059,31978,32081
Baja California,55 a 59 años,47838,23550,24288
Baja California,60 a 64 años,40558,19816,20742
Baja California,65 a 69 años,29724,14528,15196
Baja California,70 a 74 años,21048,10598,10450
Baja California,75 a 79 años,12270,6068,6202
Baja California,80 a 84 años,7248,3211,4037
Baja California,85 a 89 años,3702,1516,2186
Baja California,90 a 94 años,1336,530,806
Baja California,95 a 99 años,572,228,344
Baja California,100 años y más,141,49,92
Baja California,No especificado,10016,5098,4918
Baja California Sur,Total,375494,191013,184481
Baja California Sur,0 a 4 años,42732,21829,20903
Baja California Sur,5 a 9 años,42977,21914,21063
Baja California Sur,10 a 14 años,41165,21139,20026
Baja California Sur,15 a 19 años,40586,20591,19995
Baja California Sur,20 a 24 años,39231,19607,19624
Baja California Sur,25 a 29 años,34454,17321,17133
Baja California Sur,30 a 34 años,30976,15373,15603
Baja California Sur,35 a 39 años,26784,13577,13207
Baja California Sur,40 a 44 años,19764,10270,9494
Baja California Sur,45 a 49 años,14905,7786,7119
Baja California Sur,50 a 54 años,11611,6110,5501
Baja California Sur,55 a 59 años,8618,4574,4044
Baja California Sur,60 a 64 años,6868,3545,3323
Baja California Sur,65 a 69 años,5061,2574,2487
Baja California Sur,70 a 74 años,3560,1870,1690
Baja California Sur,75 a 79 años,2353,1140,1213
Baja California Sur,80 a 84 años,1430,657,773
Baja California Sur,85 a 89 años,795,355,440
Baja California Sur,90 a 94 años,321,131,190
Baja California Sur,95 a 99 años,149,46,103
Baja California Sur,100 años y más,35,13,22
Baja California Sur,No especificado,1119,591,528
Campeche,Total,642516,322991,319525
Campeche,0 a 4 años,80026,40710,39316
Campeche,5 a 9 años,80680,40787,39893
Campeche,10 a 14 años,77875,39434,38441
Campeche,15 a 19 años,71464,35725,35739
Campeche,20 a 24 años,64693,31663,33030
Campeche,25 a 29 años,52129,25406,26723
Campeche,30 a 34 años,45219,22241,22978
Campeche,35 a 39 años,40558,20102,20456
Campeche,40 a 44 años,30851,15718,15133
Campeche,45 a 49 años,24521,12510,12011
Campeche,50 a 54 años,18502,9543,8959
Campeche,55 a 59 años,14680,7439,7241
Campeche,60 a 64 años,12842,6619,6223
Campeche,65 a 69 años,9347,4867,4480
Campeche,70 a 74 años,7362,3982,3380
Campeche,75 a 79 años,4504,2443,2061
Campeche,80 a 84 años,2674,1408,1266
Campeche,85 a 89 años,1449,766,683
Campeche,90 a 94 años,682,363,319
Campeche,95 a 99 años,304,162,142
Campeche,100 años y más,125,57,68
Campeche,No especificado,2029,1046,983
Coahuila de Zaragoza,Total,2173775,1080594,1093181
Coahuila de Zaragoza,0 a 4 años,253150,128620,124530
Coahuila de Zaragoza,5 a 9 años,241326,122663,118663
Coahuila de Zaragoza,10 a 14 años,236394,119915,116479
Coahuila de Zaragoza,15 a 19 años,240739,120684,120055
Coahuila de Zaragoza,20 a 24 años,231564,113983,117581
Coahuila de Zaragoza,25 a 29 años,187979,91537,96442
Coahuila de Zaragoza,30 a 34 años,164412,79968,84444
Coahuila de Zaragoza,35 a 39 años,143230,69986,73244
Coahuila de Zaragoza,40 a 44 años,109439,54275,55164
Coahuila de Zaragoza,45 a 49 años,90101,44548,45553
Coahuila de Zaragoza,50 a 54 años,72230,35823,36407
Coahuila de Zaragoza,55 a 59 años,56802,28056,28746
Coahuila de Zaragoza,60 a 64 años,47416,23213,24203
Coahuila de Zaragoza,65 a 69 años,35309,16920,18389
Coahuila de Zaragoza,70 a 74 años,25443,12520,12923
Coahuila de Zaragoza,75 a 79 años,15572,7592,7980
Coahuila de Zaragoza,80 a 84 años,9618,4404,5214
Coahuila de Zaragoza,85 a 89 años,5983,2610,3373
Coahuila de Zaragoza,90 a 94 años,2044,904,1140
Coahuila de Zaragoza,95 a 99 años,873,370,503
Coahuila de Zaragoza,100 años y más,169,66,103
Coahuila de Zaragoza,No especificado,3982,1937,2045
Colima,Total,488028,242787,245241
Colima,0 a 4 años,54512,28006,26506
Colima,5 a 9 años,57304,29014,28290
Colima,10 a 14 años,57444,29269,28175
Colima,15 a 19 años,55665,27879,27786
Colima,20 a 24 años,50183,24385,25798
Colima,25 a 29 años,39747,18987,20760
Colima,30 a 34 años,35694,17201,18493
Colima,35 a 39 años,32099,15693,16406
Colima,40 a 44 años,24674,12314,12360
Colima,45 a 49 años,19427,9797,9630
Colima,50 a 54 años,15550,7739,7811
Colima,55 a 59 años,11815,5949,5866
Colima,60 a 64 años,9813,4778,5035
Colima,65 a 69 años,7519,3722,3797
Colima,70 a 74 años,6251,3167,3084
Colima,75 a 79 años,4261,2092,2169
Colima,80 a 84 años,2778,1289,1489
Colima,85 a 89 años,1551,740,811
Colima,90 a 94 años,659,292,367
Colima,95 a 99 años,335,138,197
Colima,100 años y más,74,34,40
Colima,No especificado,673,302,371
Chiapas,Total,3584786,1790580,1794206
Chiapas,0 a 4 años,501668,253905,247763
Chiapas,5 a 9 años,509161,257540,251621
Chiapas,10 a 14 años,473016,239795,233221
Chiapas,15 a 19 años,417806,206179,211627
Chiapas,20 a 24 años,339774,163857,175917
Chiapas,25 a 29 años,273873,131357,142516
Chiapas,30 a 34 años,222885,109684,113201
Chiapas,35 a 39 años,207954,102135,105819
Chiapas,40 a 44 años,151151,76939,74212
Chiapas,45 a 49 años,124169,62898,61271
Chiapas,50 a 54 años,96273,49650,46623
Chiapas,55 a 59 años,71025,36280,34745
Chiapas,60 a 64 años,61519,31695,29824
Chiapas,65 a 69 años,40548,20533,20015
Chiapas,70 a 74 años,31734,16544,15190
Chiapas,75 a 79 años,18589,9796,8793
Chiapas,80 a 84 años,13071,6495,6576
Chiapas,85 a 89 años,6412,3299,3113
Chiapas,90 a 94 años,3612,1833,1779
Chiapas,95 a 99 años,1848,908,940
Chiapas,100 años y más,1074,539,535
Chiapas,No especificado,17624,8719,8905
Chihuahua,Total,2793537,1391914,1401623
Chihuahua,0 a 4 años,330996,168403,162593
Chihuahua,5 a 9 años,320170,162991,157179
Chihuahua,10 a 14 años,293173,149003,144170
Chihuahua,15 a 19 años,291853,146786,145067
Chihuahua,20 a 24 años,299966,148984,150982
Chihuahua,25 a 29 años,254432,125406,129026
Chihuahua,30 a 34 años,216249,106152,110097
Chihuahua,35 a 39 años,181098,88099,92999
Chihuahua,40 a 44 años,134678,66021,68657
Chihuahua,45 a 49 años,110031,53545,56486
Chihuahua,50 a 54 años,93325,45975,47350
Chihuahua,55 a 59 años,74656,36676,37980
Chihuahua,60 a 64 años,63150,31027,32123
Chihuahua,65 a 69 años,45828,22185,23643
Chihuahua,70 a 74 años,32628,16266,16362
Chihuahua,75 a 79 años,19503,9418,10085
Chihuahua,80 a 84 años,12527,5836,6691
Chihuahua,85 a 89 años,7069,3174,3895
Chihuahua,90 a 94 años,2387,1033,1354
Chihuahua,95 a 99 años,988,428,560
Chihuahua,100 años y más,218,90,128
Chihuahua,No especificado,8612,4416,4196
Ciudad de México,Total,8489007,4075902,4413105
Ciudad de México,0 a 4 años,780705,397471,383234
Ciudad de México,5 a 9 años,785466,399659,385807
Ciudad de México,10 a 14 años,781808,394202,387606
Ciudad de México,15 a 19 años,848416,412443,435973
Ciudad de México,20 a 24 años,964075,464586,499489
Ciudad de México,25 a 29 años,826960,398800,428160
Ciudad de México,30 a 34 años,725263,343863,381400
Ciudad de México,35 a 39 años,643428,303002,340426
Ciudad de México,40 a 44 años,499935,236398,263537
Ciudad de México,45 a 49 años,402093,188011,214082
Ciudad de México,50 a 54 años,325253,151341,173912
Ciudad de México,55 a 59 años,235829,106781,129048
Ciudad de México,60 a 64 años,212782,92245,120537
Ciudad de México,65 a 69 años,158713,66784,91929
Ciudad de México,70 a 74 años,119920,50741,69179
Ciudad de México,75 a 79 años,71291,29171,42120
Ciudad de México,80 a 84 años,46687,17256,29431
Ciudad de México,85 a 89 años,26414,9414,17000
Ciudad de México,90 a 94 años,10508,3492,7016
Ciudad de México,95 a 99 años,4126,1269,2857
Ciudad de México,100 años y más,685,186,499
Ciudad de México,No especificado,18650,8787,9863
Durango,Total,1431748,709268,722480
Durango,0 a 4 años,175246,89065,86181
Durango,5 a 9 años,180229,91542,88687
Durango,10 a 14 años,175910,89312,86598
Durango,15 a 19 años,165403,83030,82373
Durango,20 a 24 años,140244,68068,72176
Durango,25 a 29 años,109163,51815,57348
Durango,30 a 34 años,95654,45515,50139
Durango,35 a 39 años,83865,40309,43556
Durango,40 a 44 años,64382,31247,33135
Durango,45 a 49 años,54268,26415,27853
Durango,50 a 54 años,45710,22699,23011
Durango,55 a 59 años,37306,18511,18795
Durango,60 a 64 años,33863,16789,17074
Durango,65 a 69 años,24605,12220,12385
Durango,70 a 74 años,17811,9022,8789
Durango,75 a 79 años,10563,5306,5257
Durango,80 a 84 años,7168,3453,3715
Durango,85 a 89 años,4640,2213,2427
Durango,90 a 94 años,1612,762,850
Durango,95 a 99 años,692,303,389
Durango,100 años y más,189,59,130
Durango,No especificado,3225,1613,1612
Guanajuato,Total,4406568,2139104,2267464
Guanajuato,0 a 4 años,561702,284585,277117
Guanajuato,5 a 9 años,561618,284373,277245
Guanajuato,10 a 14 años,557242,280314,276928
Guanajuato,15 a 19 años,513332,248784,264548
Guanajuato,20 a 24 años,443945,204358,239587
Guanajuato,25 a 29 años,345170,159824,185346
Guanajuato,30 a 34 años,292316,136510,155806
Guanajuato,35 a 39 años,255552,121364,134188
Guanajuato,40 a 44 años,196209,94705,101504
Guanajuato,45 a 49 años,157073,75860,81213
Guanajuato,50 a 54 años,127784,61421,66363
Guanajuato,55 a 59 años,96922,46387,50535
Guanajuato,60 a 64 años,90404,42947,47457
Guanajuato,65 a 69 años,67006,31703,35303
Guanajuato,70 a 74 años,53790,26018,27772
Guanajuato,75 a 79 años,31365,14860,16505
Guanajuato,80 a 84 años,23999,10900,13099
Guanajuato,85 a 89 años,14196,6651,7545
Guanajuato,90 a 94 años,6241,2787,3454
Guanajuato,95 a 99 años,2681,1132,1549
Guanajuato,100 años y más,551,174,377
Guanajuato,No especificado,7470,3447,4023
Guerrero,Total,2916567,1433417,1483150
Guerrero,0 a 4 años,388050,197290,190760
Guerrero,5 a 9 años,399798,202850,196948
Guerrero,10 a 14 años,387415,196670,190745
Guerrero,15 a 19 años,336443,166520,169923
Guerrero,20 a 24 años,265340,126456,138884
Guerrero,25 a 29 años,205582,96854,108728
Guerrero,30 a 34 años,177944,84143,93801
Guerrero,35 a 39 años,165407,78286,87121
Guerrero,40 a 44 años,126571,61736,64835
Guerrero,45 a 49 años,106096,51070,55026
Guerrero,50 a 54 años,86328,41907,44421
Guerrero,55 a 59 años,67228,32323,34905
Guerrero,60 a 64 años,63816,30678,33138
Guerrero,65 a 69 años,42877,20447,22430
Guerrero,70 a 74 años,35686,17264,18422
Guerrero,75 a 79 años,20694,10275,10419
Guerrero,80 a 84 años,14734,6795,7939
Guerrero,85 a 89 años,7581,3613,3968
Guerrero,90 a 94 años,3822,1675,2147
Guerrero,95 a 99 años,2028,911,1117
Guerrero,100 años y más,894,360,534
Guerrero,No especificado,12233,5294,6939
Hidalgo,Total,2112473,1042566,1069907
Hidalgo,0 a 4 años,252617,128449,124168
Hidalgo,5 a 9 años,265590,134122,131468
Hidalgo,10 a 14 años,269753,136420,133333
Hidalgo,15 a 19 años,239592,119944,119648
Hidalgo,20 a 24 años,201620,96765,104855
Hidalgo,25 a 29 años,162352,77241,85111
Hidalgo,30 a 34 años,141617,67019,74598
Hidalgo,35 a 39 años,132294,63858,68436
Hidalgo,40 a 44 años,98208,49155,49053
Hidalgo,45 a 49 años,83345,41453,41892
Hidalgo,50 a 54 años,65824,32702,33122
Hidalgo,55 a 59 años,51647,25527,26120
Hidalgo,60 a 64 años,44554,21660,22894
Hidalgo,65 a 69 años,33606,16024,17582
Hidalgo,70 a 74 años,26160,12722,13438
Hidalgo,75 a 79 años,17386,8437,8949
Hidalgo,80 a 84 años,10546,4619,5927
Hidalgo,85 a 89 años,6056,2564,3492
Hidalgo,90 a 94 años,2712,1043,1669
Hidalgo,95 a 99 años,1473,557,916
Hidalgo,100 años y más,514,148,366
Hidalgo,No especificado,5007,2137,2870
Jalisco,Total,5991176,2923921,3067255
Jalisco,0 a 4 años,701617,356974,344643
Jalisco,5 a 9 años,717968,364579,353389
Jalisco,10 a 14 años,715201,362767,352434
Jalisco,15 a 19 años,676896,333050,343846
Jalisco,20 a 24 años,615402,291850,323552
Jalisco,25 a 29 años,482529,225997,256532
Jalisco,30 a 34 años,413098,193534,219564
Jalisco,35 a 39 años,365641,173020,192621
Jalisco,40 a 44 años,291118,139687,151431
Jalisco,45 a 49 años,237708,115217,122491
Jalisco,50 a 54 años,192416,93304,99112
Jalisco,55 a 59 años,143341,68852,74489
Jalisco,60 a 64 años,125183,58712,66471
Jalisco,65 a 69 años,95384,44832,50552
Jalisco,70 a 74 años,79247,37374,41873
Jalisco,75 a 79 años,53066,25061,28005
Jalisco,80 a 84 años,36385,16501,19884
Jalisco,85 a 89 años,19954,8852,11102
Jalisco,90 a 94 años,8299,3529,4770
Jalisco,95 a 99 años,3510,1477,2033
Jalisco,100 años y más,820,288,532
Jalisco,No especificado,16393,8464,7929
México,Total,11707964,5776054,5931910
México,0 a 4 años,1364484,692929,671555
México,5 a 9 años,1382651,701280,681371
México,10 a 14 años,1344420,678340,666080
México,15 a 19 años,1305765,648259,657506
México,20 a 24 años,1295228,629684,665544
México,25 a 29 años,1058142,511944,546198
México,30 a 34 años,913299,439328,473971
México,35 a 39 años,793800,384902,408898
México,40 a 44 años,586683,290564,296119
México,45 a 49 años,457065,225645,231420
México,50 a 54 años,349220,172646,176574
México,55 a 59 años,251155,122363,128792
México,60 a 64 años,204472,96996,107476
México,65 a 69 años,145024,67125,77899
México,70 a 74 años,101342,47057,54285
México,75 a 79 años,59674,27032,32642
México,80 a 84 años,34930,14403,20527
México,85 a 89 años,21492,8568,12924
México,90 a 94 años,8673,3229,5444
México,95 a 99 años,4715,1668,3047
México,100 años y más,1000,259,741
México,No especificado,24730,11833,12897
Michoacán de Ocampo,Total,3870604,1884105,1986499
Michoacán de Ocampo,0 a 4 años,467147,236928,230219
Michoacán de Ocampo,5 a 9 años,499020,252636,246384
