Entidad_federativa,Grupo_quinquenal_de_edad,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,97483412,47592253,49891159
Estados Unidos Mexicanos,0 a 4 años,10635157,5401306,5233851
Estados Unidos Mexicanos,5 a 9 años,11215323,5677711,5537612
Estados Unidos Mexicanos,10 a 14 años,10736493,5435737,5300756
Estados Unidos Mexicanos,15 a 19 años,9992135,4909648,5082487
Estados Unidos Mexicanos,20 a 24 años,9071134,4303600,4767534
Estados Unidos Mexicanos,25 a 29 años,8157743,3861482,4296261
Estados Unidos Mexicanos,30 a 34 años,7136523,3383356,3753167
Estados Unidos Mexicanos,35 a 39 años,6352538,3023328,3329210
Estados Unidos Mexicanos,40 a 44 años,5194833,2494771,2700062
Estados Unidos Mexicanos,45 a 49 años,4072091,1957177,2114914
Estados Unidos Mexicanos,50 a 54 años,3357953,1624033,1733920
Estados Unidos Mexicanos,55 a 59 años,2559231,1234072,1325159
Estados Unidos Mexicanos,60 a 64 años,2198146,1045404,1152742
Estados Unidos Mexicanos,65 a 69 años,1660785,779666,881119
Estados Unidos Mexicanos,70 a 74 años,1245674,589106,656568
Estados Unidos Mexicanos,75 a 79 años,865270,411197,454073
Estados Unidos Mexicanos,80 a 84 años,483876,217330,266546
Estados Unidos Mexicanos,85 a 89 años,290051,125041,165010
Estados Unidos Mexicanos,90 a 94 años,122006,50843,71163
Estados Unidos Mexicanos,95 a 99 años,62892,25741,37151
Estados Unidos Mexicanos,100 años y más,19757,8029,11728
Estados Unidos Mexicanos,No especificado,2053801,1033675,1020126
Aguascalientes,Total,944285,456533,487752
Aguascalientes,0 a 4 años,116137,58831,57306
Aguascalientes,5 a 9 años,117375,59375,58000
Aguascalientes,10 a 14 años,108532,54930,53602
Aguascalientes,15 a 19 años,99577,48733,50844
Aguascalientes,20 a 24 años,87508,40526,46982
Aguascalientes,25 a 29 años,79200,36461,42739
Aguascalientes,30 a 34 años,70317,32438,37879
Aguascalientes,35 a 39 años,60839,28736,32103
Aguascalientes,40 a 44 años,49365,23383,25982
Aguascalientes,45 a 49 años,37541,17855,19686
Aguascalientes,50 a 54 años,30202,14400,15802
Aguascalientes,55 a 59 años,22094,10638,11456
Aguascalientes,60 a 64 años,17759,8129,9630
Aguascalientes,65 a 69 años,13752,6333,7419
Aguascalientes,70 a 74 años,10714,4901,5813
Aguascalientes,75 a 79 años,7754,3648,4106
Aguascalientes,80 a 84 años,4336,1915,2421
Aguascalientes,85 a 89 años,2726,1185,1541
Aguascalientes,90 a 94 años,1169,466,703
Aguascalientes,95 a 99 años,542,241,301
Aguascalientes,100 años y más,102,44,58
Aguascalientes,No especificado,6744,3365,3379
Baja California,Total,2487367,1252581,1234786
Baja California,0 a 4 años,268682,136979,131703
Baja California,5 a 9 años,260331,132492,127839
Baja California,10 a 14 años,226758,115261,111497
Baja California,15 a 19 años,220707,112046,108661
Baja California,20 a 24 años,231966,115775,116191
Baja California,25 a 29 años,230907,116644,114263
Baja California,30 a 34 años,197807,100728,97079
Baja California,35 a 39 años,165348,83873,81475
Baja California,40 a 44 años,126564,63537,63027
Baja California,45 a 49 años,92839,46040,46799
Baja California,50 a 54 años,73548,36227,37321
Baja California,55 a 59 años,53639,26116,27523
Baja California,60 a 64 años,44174,21414,22760
Baja California,65 a 69 años,32561,15643,16918
Baja California,70 a 74 años,23192,11386,11806
Baja California,75 a 79 años,15403,7530,7873
Baja California,80 a 84 años,8005,3666,4339
Baja California,85 a 89 años,4322,1706,2616
Baja California,90 a 94 años,1675,694,981
Baja California,95 a 99 años,857,340,517
Baja California,100 años y más,266,114,152
Baja California,No especificado,207816,104370,103446
Baja California Sur,Total,424041,216250,207791
Baja California Sur,0 a 4 años,45613,23303,22310
Baja California Sur,5 a 9 años,45929,23414,22515
Baja California Sur,10 a 14 años,43302,22058,21244
Baja California Sur,15 a 19 años,42376,21922,20454
Baja California Sur,20 a 24 años,42278,21345,20933
Baja California Sur,25 a 29 años,40264,20373,19891
Baja California Sur,30 a 34 años,35609,18036,17573
Baja California Sur,35 a 39 años,31282,15778,15504
Baja California Sur,40 a 44 años,25053,12759,12294
Baja California Sur,45 a 49 años,18593,9702,8891
Baja California Sur,50 a 54 años,14109,7329,6780
Baja California Sur,55 a 59 años,10631,5492,5139
Baja California Sur,60 a 64 años,8248,4294,3954
Baja California Sur,65 a 69 años,6145,3169,2976
Baja California Sur,70 a 74 años,4176,2107,2069
Baja California Sur,75 a 79 años,2894,1437,1457
Baja California Sur,80 a 84 años,1725,790,935
Baja California Sur,85 a 89 años,966,408,558
Baja California Sur,90 a 94 años,361,161,200
Baja California Sur,95 a 99 años,221,80,141
Baja California Sur,100 años y más,53,23,30
Baja California Sur,No especificado,4213,2270,1943
Campeche,Total,690689,344334,346355
Campeche,0 a 4 años,78424,39670,38754
Campeche,5 a 9 años,83090,41982,41108
Campeche,10 a 14 años,80246,40529,39717
Campeche,15 a 19 años,73769,36751,37018
Campeche,20 a 24 años,66395,31911,34484
Campeche,25 a 29 años,57599,27661,29938
Campeche,30 a 34 años,50021,24435,25586
Campeche,35 a 39 años,45603,22444,23159
Campeche,40 a 44 años,36088,18061,18027
Campeche,45 a 49 años,28962,14474,14488
Campeche,50 a 54 años,22362,11346,11016
Campeche,55 a 59 años,16699,8540,8159
Campeche,60 a 64 años,14546,7371,7175
Campeche,65 a 69 años,10683,5389,5294
Campeche,70 a 74 años,8374,4412,3962
Campeche,75 a 79 años,5787,3093,2694
Campeche,80 a 84 años,3421,1789,1632
Campeche,85 a 89 años,1777,912,865
Campeche,90 a 94 años,714,370,344
Campeche,95 a 99 años,414,205,209
Campeche,100 años y más,149,79,70
Campeche,No especificado,5566,2910,2656
Coahuila de Zaragoza,Total,2298070,1140195,1157875
Coahuila de Zaragoza,0 a 4 años,253171,129130,124041
Coahuila de Zaragoza,5 a 9 años,257228,130718,126510
Coahuila de Zaragoza,10 a 14 años,234659,119135,115524
Coahuila de Zaragoza,15 a 19 años,225416,113776,111640
Coahuila de Zaragoza,20 a 24 años,223857,110790,113067
Coahuila de Zaragoza,25 a 29 años,204662,99588,105074
Coahuila de Zaragoza,30 a 34 años,179690,86903,92787
Coahuila de Zaragoza,35 a 39 años,157386,76375,81011
Coahuila de Zaragoza,40 a 44 años,128951,63095,65856
Coahuila de Zaragoza,45 a 49 años,98997,48525,50472
Coahuila de Zaragoza,50 a 54 años,82932,40702,42230
Coahuila de Zaragoza,55 a 59 años,63057,30959,32098
Coahuila de Zaragoza,60 a 64 años,53853,26017,27836
Coahuila de Zaragoza,65 a 69 años,39173,18870,20303
Coahuila de Zaragoza,70 a 74 años,28943,13890,15053
Coahuila de Zaragoza,75 a 79 años,19396,9322,10074
Coahuila de Zaragoza,80 a 84 años,10102,4679,5423
Coahuila de Zaragoza,85 a 89 años,6051,2555,3496
Coahuila de Zaragoza,90 a 94 años,2420,991,1429
Coahuila de Zaragoza,95 a 99 años,1027,428,599
Coahuila de Zaragoza,100 años y más,253,87,166
Coahuila de Zaragoza,No especificado,26846,13660,13186
Colima,Total,542627,268192,274435
Colima,0 a 4 años,53295,27427,25868
Colima,5 a 9 años,57165,29298,27867
Colima,10 a 14 años,57422,29057,28365
Colima,15 a 19 años,54826,27289,27537
Colima,20 a 24 años,48878,23281,25597
Colima,25 a 29 años,43310,20598,22712
Colima,30 a 34 años,38024,17968,20056
Colima,35 a 39 años,35524,17173,18351
Colima,40 a 44 años,29529,14500,15029
Colima,45 a 49 años,22683,11218,11465
Colima,50 a 54 años,18269,9096,9173
Colima,55 a 59 años,14053,7006,7047
Colima,60 a 64 años,11339,5529,5810
Colima,65 a 69 años,8777,4211,4566
Colima,70 a 74 años,6599,3297,3302
Colima,75 a 79 años,5086,2532,2554
Colima,80 a 84 años,3129,1474,1655
Colima,85 a 89 años,1879,849,1030
Colima,90 a 94 años,760,332,428
Colima,95 a 99 años,397,180,217
Colima,100 años y más,128,59,69
Colima,No especificado,31555,15818,15737
Chiapas,Total,3920892,1941880,1979012
Chiapas,0 a 4 años,483372,245014,238358
Chiapas,5 a 9 años,518550,261521,257029
Chiapas,10 a 14 años,488791,247331,241460
Chiapas,15 a 19 años,433517,212353,221164
Chiapas,20 a 24 años,361994,172044,189950
Chiapas,25 a 29 años,292960,138292,154668
Chiapas,30 a 34 años,242588,116714,125874
Chiapas,35 a 39 años,226620,109185,117435
Chiapas,40 a 44 años,174699,87135,87564
Chiapas,45 a 49 años,141959,70479,71480
Chiapas,50 a 54 años,110635,56191,54444
Chiapas,55 a 59 años,83843,42296,41547
Chiapas,60 a 64 años,72099,36805,35294
Chiapas,65 a 69 años,49327,24592,24735
Chiapas,70 a 74 años,37597,19429,18168
Chiapas,75 a 79 años,23858,12422,11436
Chiapas,80 a 84 años,14768,7451,7317
Chiapas,85 a 89 años,7712,3817,3895
Chiapas,90 a 94 años,3896,1892,2004
Chiapas,95 a 99 años,2309,1126,1183
Chiapas,100 años y más,1241,611,630
Chiapas,No especificado,148557,75180,73377
Chihuahua,Total,3052907,1519972,1532935
Chihuahua,0 a 4 años,334521,169900,164621
Chihuahua,5 a 9 años,341921,173436,168485
Chihuahua,10 a 14 años,306679,155835,150844
Chihuahua,15 a 19 años,290939,147754,143185
Chihuahua,20 a 24 años,280013,139615,140398
Chihuahua,25 a 29 años,272404,134363,138041
Chihuahua,30 a 34 años,242428,119203,123225
Chihuahua,35 a 39 años,207365,101506,105859
Chihuahua,40 a 44 años,162697,79276,83421
Chihuahua,45 a 49 años,121932,58943,62989
Chihuahua,50 a 54 años,103012,50052,52960
Chihuahua,55 a 59 años,81615,39566,42049
Chihuahua,60 a 64 años,71437,34821,36616
Chihuahua,65 a 69 años,51719,25177,26542
Chihuahua,70 a 74 años,37728,18255,19473
Chihuahua,75 a 79 años,24488,11965,12523
Chihuahua,80 a 84 años,12813,5889,6924
Chihuahua,85 a 89 años,7526,3344,4182
Chihuahua,90 a 94 años,2770,1166,1604
Chihuahua,95 a 99 años,1242,531,711
Chihuahua,100 años y más,329,148,181
Chihuahua,No especificado,97329,49227,48102
Ciudad de México,Total,8605239,4110485,4494754
Ciudad de México,0 a 4 años,737934,375222,362712
Ciudad de México,5 a 9 años,764094,387936,376158
Ciudad de México,10 a 14 años,742986,375369,367617
Ciudad de México,15 a 19 años,798349,390049,408300
Ciudad de México,20 a 24 años,832517,400924,431593
Ciudad de México,25 a 29 años,840487,403311,437176
Ciudad de México,30 a 34 años,731452,346860,384592
Ciudad de México,35 a 39 años,655973,307235,348738
Ciudad de México,40 a 44 años,556565,258920,297645
Ciudad de México,45 a 49 años,441804,203214,238590
Ciudad de México,50 a 54 años,373595,171939,201656
Ciudad de México,55 a 59 años,269845,122660,147185
Ciudad de México,60 a 64 años,227283,99194,128089
Ciudad de México,65 a 69 años,175174,73983,101191
Ciudad de México,70 a 74 años,134345,55057,79288
Ciudad de México,75 a 79 años,92943,38025,54918
Ciudad de México,80 a 84 años,51638,19383,32255
Ciudad de México,85 a 89 años,30845,10712,20133
Ciudad de México,90 a 94 años,12237,3971,8266
Ciudad de México,95 a 99 años,5012,1565,3447
Ciudad de México,100 años y más,1163,413,750
Ciudad de México,No especificado,128998,64543,64455
Durango,Total,1448661,709521,739140
Durango,0 a 4 años,168897,85927,82970
Durango,5 a 9 años,177062,89736,87326
Durango,10 a 14 años,172365,87255,85110
Durango,15 a 19 años,150569,74630,75939
Durango,20 a 24 años,129322,61380,67942
Durango,25 a 29 años,113003,53011,59992
Durango,30 a 34 años,100022,46641,53381
Durango,35 a 39 años,90218,42492,47726
Durango,40 a 44 años,73203,34716,38487
Durango,45 a 49 años,57469,27538,29931
Durango,50 a 54 años,48972,23698,25274
Durango,55 a 59 años,39206,19190,20016
Durango,60 a 64 años,36689,17978,18711
Durango,65 a 69 años,27761,13685,14076
Durango,70 a 74 años,20362,10158,10204
Durango,75 a 79 años,13433,6802,6631
Durango,80 a 84 años,6877,3247,3630
Durango,85 a 89 años,4431,2068,2363
Durango,90 a 94 años,1906,856,1050
Durango,95 a 99 años,886,383,503
Durango,100 años y más,255,104,151
Durango,No especificado,15753,8026,7727
Guanajuato,Total,4663032,2233315,2429717
Guanajuato,0 a 4 años,564593,286535,278058
Guanajuato,5 a 9 años,582207,293238,288969
Guanajuato,10 a 14 años,560147,282245,277902
Guanajuato,15 a 19 años,501053,238000,263053
Guanajuato,20 a 24 años,435713,195148,240565
Guanajuato,25 a 29 años,371568,167169,204399
Guanajuato,30 a 34 años,322249,147304,174945
Guanajuato,35 a 39 años,280637,129610,151027
Guanajuato,40 a 44 años,229441,107801,121640
Guanajuato,45 a 49 años,177786,84189,93597
Guanajuato,50 a 54 años,146282,69721,76561
Guanajuato,55 a 59 años,111802,53119,58683
Guanajuato,60 a 64 años,98676,46357,52319
Guanajuato,65 a 69 años,76586,36029,40557
Guanajuato,70 a 74 años,62089,29690,32399
Guanajuato,75 a 79 años,42290,20215,22075
Guanajuato,80 a 84 años,23925,10852,13073
Guanajuato,85 a 89 años,15706,7049,8657
Guanajuato,90 a 94 años,7235,3143,4092
Guanajuato,95 a 99 años,3680,1528,2152
Guanajuato,100 años y más,878,341,537
Guanajuato,No especificado,48489,24032,24457
Guerrero,Total,3079649,1491287,1588362
Guerrero,0 a 4 años,391873,198055,193818
Guerrero,5 a 9 años,411408,208037,203371
Guerrero,10 a 14 años,394613,199865,194748
Guerrero,15 a 19 años,333331,161191,172140
Guerrero,20 a 24 años,265129,122169,142960
Guerrero,25 a 29 años,215653,99525,116128
Guerrero,30 a 34 años,186082,85746,100336
Guerrero,35 a 39 años,176165,81594,94571
Guerrero,40 a 44 años,142041,67300,74741
Guerrero,45 a 49 años,117329,55640,61689
Guerrero,50 a 54 años,96611,46272,50339
Guerrero,55 a 59 años,76908,36481,40427
Guerrero,60 a 64 años,72841,34344,38497
Guerrero,65 a 69 años,54139,25200,28939
Guerrero,70 a 74 años,42207,20193,22014
Guerrero,75 a 79 años,26950,13153,13797
Guerrero,80 a 84 años,17112,7872,9240
Guerrero,85 a 89 años,9120,4185,4935
Guerrero,90 a 94 años,4558,2034,2524
Guerrero,95 a 99 años,2711,1219,1492
Guerrero,100 años y más,1224,538,686
Guerrero,No especificado,41644,20674,20970
Hidalgo,Total,2235591,1081993,1153598
Hidalgo,0 a 4 años,243558,123609,119949
Hidalgo,5 a 9 años,277830,140645,137185
Hidalgo,10 a 14 años,271378,137272,134106
Hidalgo,15 a 19 años,235368,114428,120940
Hidalgo,20 a 24 años,195771,88949,106822
Hidalgo,25 a 29 años,172960,78718,94242
Hidalgo,30 a 34 años,155351,71301,84050
Hidalgo,35 a 39 años,143447,66909,76538
Hidalgo,40 a 44 años,117852,56602,61250
Hidalgo,45 a 49 años,95309,46488,48821
Hidalgo,50 a 54 años,77766,38145,39621
Hidalgo,55 a 59 años,60808,29879,30929
Hidalgo,60 a 64 años,51719,24910,26809
Hidalgo,65 a 69 años,40119,19103,21016
Hidalgo,70 a 74 años,30440,14494,15946
Hidalgo,75 a 79 años,21911,10518,11393
Hidalgo,80 a 84 años,12770,5727,7043
Hidalgo,85 a 89 años,7406,3139,4267
Hidalgo,90 a 94 años,3268,1274,1994
Hidalgo,95 a 99 años,1835,686,1149
Hidalgo,100 años y más,660,227,433
Hidalgo,No especificado,18065,8970,9095
Jalisco,Total,6322002,3070241,3251761
Jalisco,0 a 4 años,703272,357599,345673
Jalisco,5 a 9 años,720270,365438,354832
Jalisco,10 a 14 años,708813,358780,350033
Jalisco,15 a 19 años,673570,331655,341915
Jalisco,20 a 24 años,589706,276164,313542
Jalisco,25 a 29 años,529194,248483,280711
Jalisco,30 a 34 años,453186,211880,241306
Jalisco,35 a 39 años,397738,186637,211101
Jalisco,40 a 44 años,334653,158651,176002
Jalisco,45 a 49 años,264177,125130,139047
Jalisco,50 a 54 años,224975,107972,117003
Jalisco,55 a 59 años,169779,81869,87910
Jalisco,60 a 64 años,140629,66144,74485
Jalisco,65 a 69 años,108075,50693,57382
Jalisco,70 a 74 años,84182,39184,44998
Jalisco,75 a 79 años,63716,30017,33699
Jalisco,80 a 84 años,39463,17838,21625
Jalisco,85 a 89 años,24151,10772,13379
Jalisco,90 a 94 años,9701,4103,5598
Jalisco,95 a 99 años,4405,1819,2586
Jalisco,100 años y más,1097,427,670
Jalisco,No especificado,77250,38986,38264
México,Total,13096686,6407213,6689473
México,0 a 4 años,1366320,693821,672499
México,5 a 9 años,1447047,731860,715187
México,10 a 14 años,1363554,689319,674235
México,15 a 19 años,1307977,645046,662931
México,20 a 24 años,1250900,600382,650518
México,25 a 29 años,1154041,548872,605169
México,30 a 34 años,1008308,480221,528087
México,35 a 39 años,883172,420989,462183
México,40 a 44 años,706988,341811,365177
México,45 a 49 años,535083,259150,275933
México,50 a 54 años,422987,206575,216412
México,55 a 59 años,303755,147106,156649
México,60 a 64 años,242540,114932,127608
México,65 a 69 años,178159,82133,96026
México,70 a 74 años,123108,56031,67077
México,75 a 79 años,84377,38231,46146
México,80 a 84 años,41618,17412,24206
México,85 a 89 años,25874,10056,15818
México,90 a 94 años,10206,3640,6566
México,95 a 99 años,6030,2107,3923
México,100 años y más,1792,656,1136
México,No especificado,632850,316863,315987
Michoacán de Ocampo,Total,3985667,1911078,2074589
Michoacán de Ocampo,0 a 4 años,453339,229097,224242
Michoacán de Ocampo,5 a 9 años,492453,248571,243882
