Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,103263388,50249955,53013433
Estados Unidos Mexicanos,0 a 4 años,10186243,5175913,5010330
Estados Unidos Mexicanos,5 a 9 años,10511738,5339127,5172611
Estados Unidos Mexicanos,10 a 14 años,10952123,5545910,5406213
Estados Unidos Mexicanos,15 a 19 años,10109021,4995906,5113115
Estados Unidos Mexicanos,20 a 24 años,8964629,4253440,4711189
Estados Unidos Mexicanos,25 a 29 años,8103358,3805724,4297634
Estados Unidos Mexicanos,30 a 34 años,7933951,3745974,4187977
Estados Unidos Mexicanos,35 a 39 años,7112526,3371372,3741154
Estados Unidos Mexicanos,40 a 44 años,6017268,2871549,3145719
Estados Unidos Mexicanos,45 a 49 años,5015255,2388149,2627106
Estados Unidos Mexicanos,50 a 54 años,4090650,1959720,2130930
Estados Unidos Mexicanos,55 a 59 años,3117071,1497981,1619090
Estados Unidos Mexicanos,60 a 64 años,2622476,1243788,1378688
Estados Unidos Mexicanos,65 a 69 años,1958069,922592,1035477
Estados Unidos Mexicanos,70 a 74 años,1496691,703277,793414
Estados Unidos Mexicanos,75 a 79 años,1048315,490840,557475
Estados Unidos Mexicanos,80 a 84 años,657011,296351,360660
Estados Unidos Mexicanos,85 a 89 años,345154,150617,194537
Estados Unidos Mexicanos,90 a 94 años,132325,54391,77934
Estados Unidos Mexicanos,95 a 99 años,61145,24439,36706
Estados Unidos Mexicanos,100 años y más,17649,6696,10953
Estados Unidos Mexicanos,No especificado,2810720,1406199,1404521
Aguascalientes,Total,1065416,515364,550052
Aguascalientes,0 a 4 años,118536,60406,58130
Aguascalientes,5 a 9 años,120130,60900,59230
Aguascalientes,10 a 14 años,120280,60816,59464
Aguascalientes,15 a 19 años,107007,52748,54259
Aguascalientes,20 a 24 años,93139,43716,49423
Aguascalientes,25 a 29 años,83073,38437,44636
Aguascalientes,30 a 34 años,82651,38373,44278
Aguascalientes,35 a 39 años,73006,34068,38938
Aguascalientes,40 a 44 años,61553,29044,32509
Aguascalientes,45 a 49 años,49233,23155,26078
Aguascalientes,50 a 54 años,39222,18636,20586
Aguascalientes,55 a 59 años,29196,13802,15394
Aguascalientes,60 a 64 años,23168,10959,12209
Aguascalientes,65 a 69 años,16290,7509,8781
Aguascalientes,70 a 74 años,12912,5935,6977
Aguascalientes,75 a 79 años,9203,4193,5010
Aguascalientes,80 a 84 años,6155,2668,3487
Aguascalientes,85 a 89 años,3140,1384,1756
Aguascalientes,90 a 94 años,1302,542,760
Aguascalientes,95 a 99 años,503,197,306
Aguascalientes,100 años y más,98,41,57
Aguascalientes,No especificado,15619,7835,7784
Baja California,Total,2844469,1431789,1412680
Baja California,0 a 4 años,267954,136245,131709
Baja California,5 a 9 años,277635,141538,136097
Baja California,10 a 14 años,267938,136669,131269
Baja California,15 a 19 años,255309,129298,126011
Baja California,20 a 24 años,246968,123808,123160
Baja California,25 a 29 años,241951,120390,121561
Baja California,30 a 34 años,240879,121987,118892
Baja California,35 a 39 años,208125,106746,101379
Baja California,40 a 44 años,164598,83803,80795
Baja California,45 a 49 años,128512,64198,64314
Baja California,50 a 54 años,99356,49179,50177
Baja California,55 a 59 años,71624,35077,36547
Baja California,60 a 64 años,56711,27276,29435
Baja California,65 a 69 años,40660,19468,21192
Baja California,70 a 74 años,28923,13866,15057
Baja California,75 a 79 años,18815,8983,9832
Baja California,80 a 84 años,11375,5240,6135
Baja California,85 a 89 años,5453,2363,3090
Baja California,90 a 94 años,1987,717,1270
Baja California,95 a 99 años,792,274,518
Baja California,100 años y más,172,58,114
Baja California,No especificado,208732,104606,104126
Baja California Sur,Total,512170,261288,250882
Baja California Sur,0 a 4 años,49069,25004,24065
Baja California Sur,5 a 9 años,49164,25216,23948
Baja California Sur,10 a 14 años,48106,24492,23614
Baja California Sur,15 a 19 años,46700,24156,22544
Baja California Sur,20 a 24 años,46222,23777,22445
Baja California Sur,25 a 29 años,45939,23376,22563
Baja California Sur,30 a 34 años,43628,22203,21425
Baja California Sur,35 a 39 años,38197,19506,18691
Baja California Sur,40 a 44 años,31526,15928,15598
Baja California Sur,45 a 49 años,25121,12756,12365
Baja California Sur,50 a 54 años,19430,10087,9343
Baja California Sur,55 a 59 años,13781,7152,6629
Baja California Sur,60 a 64 años,10783,5510,5273
Baja California Sur,65 a 69 años,7544,3848,3696
Baja California Sur,70 a 74 años,5254,2626,2628
Baja California Sur,75 a 79 años,3488,1706,1782
Baja California Sur,80 a 84 años,2154,992,1162
Baja California Sur,85 a 89 años,1168,483,685
Baja California Sur,90 a 94 años,440,160,280
Baja California Sur,95 a 99 años,177,76,101
Baja California Sur,100 años y más,45,18,27
Baja California Sur,No especificado,24234,12216,12018
Campeche,Total,754730,373457,381273
Campeche,0 a 4 años,73461,37327,36134
Campeche,5 a 9 años,79199,40040,39159
Campeche,10 a 14 años,83597,42346,41251
Campeche,15 a 19 años,77485,38458,39027
Campeche,20 a 24 años,70006,33347,36659
Campeche,25 a 29 años,62455,29579,32876
Campeche,30 a 34 años,59665,28481,31184
Campeche,35 a 39 años,52899,25770,27129
Campeche,40 a 44 años,43896,21696,22200
Campeche,45 a 49 años,36152,17881,18271
Campeche,50 a 54 años,29746,14818,14928
Campeche,55 a 59 años,21475,10823,10652
Campeche,60 a 64 años,17979,9081,8898
Campeche,65 a 69 años,12827,6339,6488
Campeche,70 a 74 años,9830,5097,4733
Campeche,75 a 79 años,7153,3780,3373
Campeche,80 a 84 años,4407,2250,2157
Campeche,85 a 89 años,2579,1333,1246
Campeche,90 a 94 años,890,451,439
Campeche,95 a 99 años,405,234,171
Campeche,100 años y más,140,73,67
Campeche,No especificado,8484,4253,4231
Coahuila de Zaragoza,Total,2495200,1236880,1258320
Coahuila de Zaragoza,0 a 4 años,249590,126956,122634
Coahuila de Zaragoza,5 a 9 años,257277,130816,126461
Coahuila de Zaragoza,10 a 14 años,257591,130729,126862
Coahuila de Zaragoza,15 a 19 años,231405,116757,114648
Coahuila de Zaragoza,20 a 24 años,214562,107233,107329
Coahuila de Zaragoza,25 a 29 años,206859,101494,105365
Coahuila de Zaragoza,30 a 34 años,205193,99340,105853
Coahuila de Zaragoza,35 a 39 años,180228,87416,92812
Coahuila de Zaragoza,40 a 44 años,152496,74035,78461
Coahuila de Zaragoza,45 a 49 años,126257,61359,64898
Coahuila de Zaragoza,50 a 54 años,100907,49273,51634
Coahuila de Zaragoza,55 a 59 años,77889,38342,39547
Coahuila de Zaragoza,60 a 64 años,64043,30923,33120
Coahuila de Zaragoza,65 a 69 años,47679,22958,24721
Coahuila de Zaragoza,70 a 74 años,34186,16539,17647
Coahuila de Zaragoza,75 a 79 años,23529,11268,12261
Coahuila de Zaragoza,80 a 84 años,13768,6248,7520
Coahuila de Zaragoza,85 a 89 años,6882,3081,3801
Coahuila de Zaragoza,90 a 94 años,2396,967,1429
Coahuila de Zaragoza,95 a 99 años,1056,393,663
Coahuila de Zaragoza,100 años y más,225,84,141
Coahuila de Zaragoza,No especificado,41182,20669,20513
Colima,Total,567996,280005,287991
Colima,0 a 4 años,51929,26388,25541
Colima,5 a 9 años,53742,27734,26008
Colima,10 a 14 años,56990,29280,27710
Colima,15 a 19 años,56534,28076,28458
Colima,20 a 24 años,50049,24135,25914
Colima,25 a 29 años,44660,21164,23496
Colima,30 a 34 años,44016,21077,22939
Colima,35 a 39 años,39605,18850,20755
Colima,40 a 44 años,34968,16970,17998
Colima,45 a 49 años,28969,14171,14798
Colima,50 a 54 años,23348,11439,11909
Colima,55 a 59 años,17614,8732,8882
Colima,60 a 64 años,14442,7075,7367
Colima,65 a 69 años,10530,5110,5420
Colima,70 a 74 años,7947,3836,4111
Colima,75 a 79 años,5679,2765,2914
Colima,80 a 84 años,3908,1821,2087
Colima,85 a 89 años,2327,1060,1267
Colima,90 a 94 años,946,435,511
Colima,95 a 99 años,416,183,233
Colima,100 años y más,121,61,60
Colima,No especificado,19256,9643,9613
Chiapas,Total,4293459,2108830,2184629
Chiapas,0 a 4 años,490058,248713,241345
Chiapas,5 a 9 años,512440,260077,252363
Chiapas,10 a 14 años,537725,271971,265754
Chiapas,15 a 19 años,471331,230408,240923
Chiapas,20 a 24 años,383455,179238,204217
Chiapas,25 a 29 años,324289,150453,173836
Chiapas,30 a 34 años,283522,132962,150560
Chiapas,35 a 39 años,257320,121598,135722
Chiapas,40 a 44 años,210437,102657,107780
Chiapas,45 a 49 años,176142,86422,89720
Chiapas,50 a 54 años,139301,69845,69456
Chiapas,55 a 59 años,103667,51992,51675
Chiapas,60 a 64 años,98728,48847,49881
Chiapas,65 a 69 años,63469,31538,31931
Chiapas,70 a 74 años,46845,24124,22721
Chiapas,75 a 79 años,31858,16440,15418
Chiapas,80 a 84 años,19141,9728,9413
Chiapas,85 a 89 años,10593,5355,5238
Chiapas,90 a 94 años,4097,1993,2104
Chiapas,95 a 99 años,2352,1175,1177
Chiapas,100 años y más,1267,615,652
Chiapas,No especificado,125422,62679,62743
Chihuahua,Total,3241444,1610275,1631169
Chihuahua,0 a 4 años,320384,162947,157437
Chihuahua,5 a 9 años,324350,164698,159652
Chihuahua,10 a 14 años,322642,163733,158909
Chihuahua,15 a 19 años,300186,151797,148389
Chihuahua,20 a 24 años,267506,133526,133980
Chihuahua,25 a 29 años,250016,123385,126631
Chihuahua,30 a 34 años,257676,127117,130559
Chihuahua,35 a 39 años,233533,114930,118603
Chihuahua,40 a 44 años,193322,94501,98821
Chihuahua,45 a 49 años,153968,74445,79523
Chihuahua,50 a 54 años,119550,57774,61776
Chihuahua,55 a 59 años,92987,44511,48476
Chihuahua,60 a 64 años,80050,38234,41816
Chihuahua,65 a 69 años,62659,30067,32592
Chihuahua,70 a 74 años,45078,21842,23236
Chihuahua,75 a 79 años,29983,14348,15635
Chihuahua,80 a 84 años,17235,7908,9327
Chihuahua,85 a 89 años,8045,3564,4481
Chihuahua,90 a 94 años,2931,1158,1773
Chihuahua,95 a 99 años,1078,400,678
Chihuahua,100 años y más,224,90,134
Chihuahua,No especificado,158041,79300,78741
Ciudad de México,Total,8720916,4171683,4549233
Ciudad de México,0 a 4 años,664092,338207,325885
Ciudad de México,5 a 9 años,671579,341618,329961
Ciudad de México,10 a 14 años,704950,357106,347844
Ciudad de México,15 a 19 años,740280,368042,372238
Ciudad de México,20 a 24 años,765641,373044,392597
Ciudad de México,25 a 29 años,735441,353337,382104
Ciudad de México,30 a 34 años,755600,359952,395648
Ciudad de México,35 a 39 años,678990,319519,359471
Ciudad de México,40 a 44 años,596540,278656,317884
Ciudad de México,45 a 49 años,515878,237757,278121
Ciudad de México,50 a 54 años,441077,202356,238721
Ciudad de México,55 a 59 años,329553,150909,178644
Ciudad de México,60 a 64 años,263228,117398,145830
Ciudad de México,65 a 69 años,192699,83931,108768
Ciudad de México,70 a 74 años,164150,67932,96218
Ciudad de México,75 a 79 años,110512,44280,66232
Ciudad de México,80 a 84 años,72725,27752,44973
Ciudad de México,85 a 89 años,35912,12752,23160
Ciudad de México,90 a 94 años,14084,4564,9520
Ciudad de México,95 a 99 años,5176,1589,3587
Ciudad de México,100 años y más,952,254,698
Ciudad de México,No especificado,261857,130728,131129
Durango,Total,1509117,738095,771022
Durango,0 a 4 años,158588,80812,77776
Durango,5 a 9 años,165488,84071,81417
Durango,10 a 14 años,171314,86908,84406
Durango,15 a 19 años,156434,77795,78639
Durango,20 a 24 años,124920,59372,65548
Durango,25 a 29 años,111556,52329,59227
Durango,30 a 34 años,110058,51803,58255
Durango,35 a 39 años,99365,46784,52581
Durango,40 a 44 años,85571,40303,45268
Durango,45 a 49 años,70558,33419,37139
Durango,50 a 54 años,57570,27707,29863
Durango,55 a 59 años,45386,21832,23554
Durango,60 a 64 años,40026,19550,20476
Durango,65 a 69 años,31835,15693,16142
Durango,70 a 74 años,24425,12125,12300
Durango,75 a 79 años,16824,8396,8428
Durango,80 a 84 años,9837,4828,5009
Durango,85 a 89 años,4700,2165,2535
Durango,90 a 94 años,1784,813,971
Durango,95 a 99 años,798,346,452
Durango,100 años y más,243,104,139
Durango,No especificado,21837,10940,10897
Guanajuato,Total,4893812,2329136,2564676
Guanajuato,0 a 4 años,527480,267399,260081
Guanajuato,5 a 9 años,551459,279081,272378
Guanajuato,10 a 14 años,569357,286789,282568
Guanajuato,15 a 19 años,504643,241953,262690
Guanajuato,20 a 24 años,425409,188993,236416
Guanajuato,25 a 29 años,377109,167451,209658
Guanajuato,30 a 34 años,361384,163437,197947
Guanajuato,35 a 39 años,321689,147170,174519
Guanajuato,40 a 44 años,269592,124556,145036
Guanajuato,45 a 49 años,219520,102288,117232
Guanajuato,50 a 54 años,180011,84056,95955
Guanajuato,55 a 59 años,135455,64147,71308
Guanajuato,60 a 64 años,117552,54792,62760
Guanajuato,65 a 69 años,87450,41027,46423
Guanajuato,70 a 74 años,71388,33672,37716
Guanajuato,75 a 79 años,51797,24481,27316
Guanajuato,80 a 84 años,34405,15638,18767
Guanajuato,85 a 89 años,17077,7610,9467
Guanajuato,90 a 94 años,7351,3125,4226
Guanajuato,95 a 99 años,3392,1396,1996
Guanajuato,100 años y más,754,269,485
Guanajuato,No especificado,59538,29806,29732
Guerrero,Total,3115202,1499453,1615749
Guerrero,0 a 4 años,345731,174968,170763
Guerrero,5 a 9 años,377826,190749,187077
Guerrero,10 a 14 años,396125,200491,195634
Guerrero,15 a 19 años,332940,161667,171273
Guerrero,20 a 24 años,252404,114723,137681
Guerrero,25 a 29 años,212665,96552,116113
Guerrero,30 a 34 años,198099,90739,107360
Guerrero,35 a 39 años,181518,83257,98261
Guerrero,40 a 44 años,158810,74032,84778
Guerrero,45 a 49 años,135306,63531,71775
Guerrero,50 a 54 años,112818,53978,58840
Guerrero,55 a 59 años,89468,42807,46661
Guerrero,60 a 64 años,80235,37731,42504
Guerrero,65 a 69 años,66040,30398,35642
Guerrero,70 a 74 años,50403,23852,26551
Guerrero,75 a 79 años,34974,16891,18083
Guerrero,80 a 84 años,21597,9992,11605
Guerrero,85 a 89 años,11675,5335,6340
Guerrero,90 a 94 años,4612,2040,2572
Guerrero,95 a 99 años,2520,1130,1390
Guerrero,100 años y más,1126,486,640
Guerrero,No especificado,48310,24104,24206
Hidalgo,Total,2345514,1125188,1220326
Hidalgo,0 a 4 años,237423,120784,116639
Hidalgo,5 a 9 años,243185,123336,119849
Hidalgo,10 a 14 años,270650,136955,133695
Hidalgo,15 a 19 años,237675,115331,122344
Hidalgo,20 a 24 años,196494,88134,108360
Hidalgo,25 a 29 años,175226,78011,97215
Hidalgo,30 a 34 años,173306,78284,95022
Hidalgo,35 a 39 años,159174,73325,85849
Hidalgo,40 a 44 años,135441,63506,71935
Hidalgo,45 a 49 años,116547,55512,61035
Hidalgo,50 a 54 años,93857,45771,48086
Hidalgo,55 a 59 años,73161,35672,37489
Hidalgo,60 a 64 años,65005,31058,33947
Hidalgo,65 a 69 años,46738,22345,24393
Hidalgo,70 a 74 años,35516,16901,18615
Hidalgo,75 a 79 años,25653,12155,13498
Hidalgo,80 a 84 años,16502,7413,9089
Hidalgo,85 a 89 años,9117,3974,5143
Hidalgo,90 a 94 años,3470,1381,2089
Hidalgo,95 a 99 años,1703,628,1075
Hidalgo,100 años y más,621,204,417
Hidalgo,No especificado,29050,14508,14542
Jalisco,Total,6752113,3278822,3473291
Jalisco,0 a 4 años,674285,342642,331643
Jalisco,5 a 9 años,688681,349996,338685
Jalisco,10 a 14 años,697206,354242,342964
Jalisco,15 a 19 años,669724,330944,338780
Jalisco,20 a 24 años,601671,285876,315795
Jalisco,25 a 29 años,523866,246599,277267
Jalisco,30 a 34 años,509541,240566,268975
Jalisco,35 a 39 años,448698,211444,237254
Jalisco,40 a 44 años,379829,179031,200798
Jalisco,45 a 49 años,318734,149555,169179
Jalisco,50 a 54 años,267921,125979,141942
Jalisco,55 a 59 años,208005,99191,108814
Jalisco,60 a 64 años,172579,81797,90782
Jalisco,65 a 69 años,126101,59336,66765
Jalisco,70 a 74 años,96044,44817,51227
Jalisco,75 a 79 años,69383,32186,37197
Jalisco,80 a 84 años,48147,21475,26672
Jalisco,85 a 89 años,27217,12006,15211
Jalisco,90 a 94 años,11502,4926,6576
Jalisco,95 a 99 años,4526,1778,2748
Jalisco,100 años y más,1027,409,618
Jalisco,No especificado,207426,104027,103399
México,Total,14007495,6832822,7174673
México,0 a 4 años,1373064,697889,675175
México,5 a 9 años,1362065,691997,670068
México,10 a 14 años,1410691,713138,697553
México,15 a 19 años,1334112,663064,671048
México,20 a 24 años,1250151,601037,649114
México,25 a 29 años,1152407,546014,606393
México,30 a 34 años,1147320,541872,605448
México,35 a 39 años,1016457,483846,532611
México,40 a 44 años,839324,402414,436910
México,45 a 49 años,682173,325717,356456
México,50 a 54 años,539308,259710,279598
México,55 a 59 años,388919,187632,201287
México,60 a 64 años,305945,145437,160508
México,65 a 69 años,215924,100467,115457
México,70 a 74 años,156324,71808,84516
México,75 a 79 años,102977,46177,56800
México,80 a 84 años,61530,26388,35142
México,85 a 89 años,31282,12505,18777
México,90 a 94 años,11029,3929,7100
México,95 a 99 años,5264,1772,3492
México,100 años y más,1334,376,958
México,No especificado,619895,309633,310262
Michoacán de Ocampo,Total,3966073,1892377,2073696
Michoacán de Ocampo,0 a 4 años,400054,202915,197139
Michoacán de Ocampo,5 a 9 años,426654,215699,210955
